tool,refactoring,input,output
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public class ClassId_2 {
}"
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;

public class ClassId_0  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;
import Package_0.*;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_2  {
}"
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0();
  }
}","package Package_0;
public class ClassId_0 {
  public long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0(0);
  }
}"
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return this.methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  protected long methodid_0(  int a){
    return 0;
  }
}","package Package_0;

public class ClassId_0  {
  long methodid_0(int i) {
    return 1;
  }
}
package Package_0;

public class ClassId_1 extends ClassId_0  {
  public long m_0() {
    return this.methodid_0(0);
  }
}
package Package_1;
import Package_0.*;

public class ClassId_2 extends ClassId_1  {
  protected long methodid_0(int a) {
    return 0;
  }
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return super.methodid_0();
  }
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return super.methodid_0(0);
  }
}"
JRRT,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_0 implements ClassId_2  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;

public interface ClassId_2  {
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(int i){
    return 0;
  }
}"
JRRT,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_0 {
  public long m_0(){
    return this.methodid_0();
  }
}","package Package_0;
import Package_1.*;

public class ClassId_1 extends ClassId_0  {
  protected long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_0  {
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;

public class ClassId_2 extends ClassId_0  {
  public long m_0() {
    return this.methodid_0(0);
  }
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public interface ClassId_2 {
}"
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;

public class ClassId_0  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  private long methodid_0(int i) {
    return 1;
  }
}
package Package_0;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_2  {
}"
