Real Projects,,,,,,,,,,,,,,,,,,,
Java,Phi4:14B,Claude,RMiner,Gemini 2.5 Pro,RefDiff,o4,ReExtractor,Total,,,,,,,,,,,
Extract Class,100%,0%,100%,0%,100%,0%,0%,1,,,,,,,,,,,
Extract Interface,100%,100%,100%,75%,100%,100%,75%,8,,,,,,,,,,,
Extract Superclass,100%,100%,100%,100%,100%,100%,100%,2,,,,,,,,,,,
Inline Method,80%,100%,60%,100%,40%,80%,60%,5,,,,,,,,,,,
Move Method,38%,100%,75%,100%,100%,87.5%,87.5%,8,,,,,,,,,,,
Pull Up Field,100%,100%,100%,100%,0%,100%,100%,2,,,,,,,,,,,
Pull Up Method,80%,80%,100%,80%,100%,100%,100%,5,,,,,,,,,,,
Push Down Field,0%,100%,100%,100%,0%,100%,100%,1,,,,,,,,,,,
Push Down Method,50%,75%,75%,100%,50%,100%,75%,4,,,,,,,,,,,
Rename Class,100%,100%,100%,100%,100%,100%,100%,4,,,,,,,,,,,
Rename Field,100%,100%,100%,100%,0%,100%,100%,1,,,Diff Ranges (LOC),Phi4:14B,Claude,RMiner,Gemini 2.5 Pro,RefDiff,o4,ReExtractor,Total
Rename Method,100%,100%,100%,100%,66.6%,100%,100%,3,,,0–39,80%,100%,90%,100%,50%,100%,70%,10
Accuracy,77.3%,93.2%,88.6%,90.9%,77.3%,93.2%,84.1%,100%,,,40–79,81%,86%,86%,81%,81%,86%,86%,21
Precision,"54,0%","77,4%","41,9%","76,9%","70,8%","80,4%","40,2%",100%,,,80–119,83%,100%,100%,100%,100%,100%,100%,6
Recall,"77,3%","93,2%","88,6%","90,9%","77,3%","93,2%","84,1%",100%,,,120–159,25%,100%,75%,100%,50%,100%,75%,4
GoLang,,,,,,,,,,,160–359,100%,100%,100%,100%,100%,100%,100%,3
Encapsulate field,0%,100%,0,100%,0,100%,0%,1,,,Python and Go,Phi4:14B,Claude,RMiner,Gemini 2.5 Pro,RefDiff,o4,ReExtractor,Total
Extract Interface,100%,100%,0,100%,0,100%,0%,2,,,0-29,89%,78%,0%,100%,0%,100%,0%,9
Inline Method,100%,100%,0,100%,0,100%,0%,3,,,30-59,83%,100%,0%,100%,0%,100%,0%,6
Rename Class,100%,100%,0,100%,0,100%,0%,1,,,60-89,100%,100%,0%,100%,0%,50%,0%,2
Rename field,100%,100%,0,100%,0,0%,0%,1,,,90-119,50%,100%,0%,100%,0%,100%,0%,2
Rename Method,100%,100%,0,100%,0,100%,0%,2,,,120-149,100%,100%,0%,100%,0%,100%,0%,1
Total,90%,100%,,100%,,90%,0%,10,,,,,,,,,,,
Python,,,,,,,,,,,,,,,,,,,
Extract SuperClass,100%,0%,0,100%,0,100%,0%,2,,,,,,,,,,,
Inline Method,100%,100%,0,100%,0,100%,0%,1,,,,,,,,,,,
Pull Up Field,100%,100%,0,100%,0,100%,0%,2,,,,,,,,,,,
Push down Field,0%,100%,0,100%,0,100%,0%,2,,,,,,,,,,,
Rename Class,100%,100%,0,100%,0,100%,0%,1,,,,,,,,,,,
Rename Field,100%,100%,0,100%,0,100%,0%,2,,,,,,,,,,,
,80%,80%,,100%,,100%,0%,,,,,,,,,,,,
Gemini,,,,,,,,,,,,,,,,,,,
Refactoring Type,TP,FP,FN,Precision,Recall,,,,,,,,,,,,,,
Total,40,12,4,"76,9%","90,9%",,,,,,,,,,,,,,
Add Method Parameter,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Class,0,0,1,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Interface,6,0,2,"100,0%","75,0%",,,,,,,,,,,,,,
Extract Superclass,2,3,0,"40,0%","100,0%",,,,,,,,,,,,,,
Inline Method,5,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Move Method,8,1,0,"88,9%","100,0%",,,,,,,,,,,,,,
Pull Up Field,2,1,0,"66,7%","100,0%",,,,,,,,,,,,,,
Pull Up Method,4,3,1,"57,1%","80,0%",,,,,,,,,,,,,,
Push Down Field,1,1,0,"50,0%","100,0%",,,,,,,,,,,,,,
Push Down Method,4,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Remove Method Parameter,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Rename Class,4,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Rename Field,1,1,0,"50,0%","100,0%",,,,,,,,,,,,,,
Rename Method,3,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Phi4,,,,,,,,,,,,,,,,,,,
Refactoring Type,TP,FP,FN,Precision,Recall,,,,,,,,,,,,,,
Total,34,29,10,"54,0%","77,3%",,,,,,,,,,,,,,
Add Method Parameter,0,2,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Field Visibility,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Method Visibility,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Class,1,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Extract Interface,8,1,0,"88,9%","100,0%",,,,,,,,,,,,,,
Extract Method,0,5,0,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Superclass,2,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Inline Method,4,1,1,"80,0%","80,0%",,,,,,,,,,,,,,
Move Method,3,1,5,"75,0%","37,5%",,,,,,,,,,,,,,
Override Method,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Pull Down Method,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Pull Up Field,1,3,1,"25,0%","50,0%",,,,,,,,,,,,,,
Pull Up Method,4,9,1,"30,8%","80,0%",,,,,,,,,,,,,,
Push Down Field,1,3,0,"25,0%","100,0%",,,,,,,,,,,,,,
Push Down Method,2,0,2,"100,0%","50,0%",,,,,,,,,,,,,,
Remove Method,0,2,0,"0,0%","0,0%",,,,,,,,,,,,,,
Remove Method Parameter,0,2,0,"0,0%","0,0%",,,,,,,,,,,,,,
Rename Class,4,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Rename Field,1,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Rename File,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Rename Method,3,1,0,"75,0%","100,0%",,,,,,,,,,,,,,
Rename Package,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ReExtractor,,,,,,,,,,,,,,,,,,,
Refactoring Type,TP,FP,FN,Precision,Recall,,,,,,,,,,,,,,
Total,37,55,7,"40,2%","84,1%",,,,,,,,,,,,,,
Add Method Annotation,0,3,0,"0,0%","0,0%",,,,,,,,,,,,,,
Add Parameter,0,3,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Attribute Access Modifier,0,7,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Attribute Type,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Attribute Type binder ,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Class Access Modifier,0,2,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Method Access Modifier,0,9,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Parameter Type,0,4,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Return Type,0,3,0,"0,0%","0,0%",,,,,,,,,,,,,,
Change Variable Type,0,3,0,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Class,0,0,1,"0,0%","0,0%",,,,,,,,,,,,,,
Extract Interface,7,1,1,"87,5%","87,5%",,,,,,,,,,,,,,
Extract Superclass,2,1,0,"66,7%","100,0%",,,,,,,,,,,,,,
Extract Variable,0,1,0,"0,0%","0,0%",,,,,,,,,,,,,,
Inline Method,3,0,2,"100,0%","60,0%",,,,,,,,,,,,,,
Move And Inline Method,0,2,0,"0,0%","0,0%",,,,,,,,,,,,,,
Move Method,7,1,1,"87,5%","87,5%",,,,,,,,,,,,,,
Pull Up Field,2,2,0,"50,0%","100,0%",,,,,,,,,,,,,,
Pull Up Method,4,4,1,"50,0%","80,0%",,,,,,,,,,,,,,
Push Down Field,1,0,0,"100,0%","100,0%",,,,,,,,,,,,,,
Push Down Method,3,0,1,"100,0%","75,0%",,,,,,,,,,,,,,
